|	no. of generations	|	minimum fitness 	|	50th percentile fitness	|	maximum fitness 	|
-----------------------------------------------------------------------------------------------------------------------
|		395		|	1.35E-06		|	4.54E-06		|	1.02E-05		|
|		400		|	1.36E-06		|	4.88E-06		|	1.02E-05		|
|		405		|	4.29E-06		|	6.66E-06		|	1.02E-05		|
|		410		|	1.71E-06		|	9.04E-06		|	1.02E-05		|
|		415		|	1.38E-06		|	9.44E-06		|	1.02E-05		|
|		420		|	4.51E-06		|	9.30E-06		|	1.02E-05		|
|		425		|	1.39E-06		|	9.48E-06		|	1.02E-05		|
|		430		|	4.39E-06		|	9.30E-06		|	1.02E-05		|
|		435		|	1.36E-06		|	9.39E-06		|	1.02E-05		|
|		440		|	1.48E-06		|	4.88E-06		|	1.02E-05		|
|		445		|	1.27E-06		|	4.61E-06		|	1.02E-05		|
|		450		|	1.44E-06		|	4.71E-06		|	1.02E-05		|
|		455		|	5.03E-07		|	4.66E-06		|	1.02E-05		|
|		460		|	4.50E-06		|	6.54E-06		|	1.02E-05		|
|		465		|	1.40E-06		|	1.86E-06		|	1.02E-05		|
|		470		|	1.39E-06		|	5.03E-06		|	1.02E-05		|
|		475		|	1.37E-06		|	5.15E-06		|	1.02E-05		|
|		480		|	1.38E-06		|	4.55E-06		|	1.02E-05		|
|		485		|	1.57E-06		|	6.14E-06		|	1.02E-05		|
|		490		|	4.30E-06		|	5.06E-06		|	1.02E-05		|
|		495		|	1.62E-06		|	4.96E-06		|	1.02E-05		|
|		500		|	4.19E-06		|	7.07E-06		|	1.02E-05		|
|		505		|	1.41E-06		|	5.13E-06		|	1.02E-05		|
|		510		|	1.67E-06		|	7.25E-06		|	1.02E-05		|
|		515		|	1.47E-06		|	5.68E-06		|	1.02E-05		|
|		520		|	1.35E-06		|	9.02E-06		|	1.02E-05		|
|		525		|	1.36E-06		|	6.29E-06		|	1.02E-05		|
|		530		|	1.53E-06		|	6.60E-06		|	1.02E-05		|
|		535		|	1.35E-06		|	6.98E-06		|	1.02E-05		|
|		540		|	1.44E-06		|	7.03E-06		|	1.02E-05		|
|		545		|	1.38E-06		|	5.01E-06		|	1.02E-05		|
|		550		|	1.42E-06		|	4.52E-06		|	1.02E-05		|
|		555		|	1.39E-06		|	4.86E-06		|	1.02E-05		|
|		560		|	1.75E-06		|	5.81E-06		|	1.02E-05		|
|		565		|	1.45E-06		|	6.94E-06		|	1.02E-05		|
|		570		|	2.78E-06		|	7.95E-06		|	1.02E-05		|
|		575		|	1.39E-06		|	9.54E-06		|	1.02E-05		|
|		580		|	4.34E-06		|	7.10E-06		|	1.02E-05		|
|		585		|	1.41E-06		|	9.52E-06		|	1.02E-05		|
|		590		|	1.41E-06		|	7.06E-06		|	1.02E-05		|
|		595		|	4.43E-06		|	4.80E-06		|	1.02E-05		|
|		600		|	1.69E-06		|	4.95E-06		|	1.02E-05		|
|		605		|	1.42E-06		|	5.13E-06		|	1.02E-05		|
|		610		|	3.04E-06		|	8.15E-06		|	1.02E-05		|
|		615		|	1.45E-06		|	5.22E-06		|	1.02E-05		|
|		620		|	4.45E-06		|	6.06E-06		|	1.02E-05		|
|		625		|	4.39E-06		|	7.47E-06		|	1.02E-05		|
|		630		|	1.50E-06		|	5.23E-06		|	1.02E-05		|
|		635		|	1.39E-06		|	4.66E-06		|	1.02E-05		|
|		640		|	1.48E-06		|	5.31E-06		|	1.02E-05		|
|		645		|	1.39E-06		|	5.46E-06		|	1.02E-05		|
|		650		|	1.41E-06		|	5.74E-06		|	1.02E-05		|
|		655		|	1.68E-06		|	4.88E-06		|	1.02E-05		|
|		660		|	1.38E-06		|	4.73E-06		|	1.02E-05		|
|		665		|	1.59E-06		|	4.61E-06		|	1.02E-05		|
|		670		|	1.75E-06		|	4.94E-06		|	1.02E-05		|
|		675		|	1.51E-06		|	5.47E-06		|	1.02E-05		|
|		680		|	1.48E-06		|	9.27E-06		|	1.02E-05		|
|		685		|	1.38E-06		|	2.36E-06		|	1.02E-05		|
|		690		|	1.41E-06		|	6.14E-06		|	1.02E-05		|
|		695		|	1.63E-06		|	5.66E-06		|	1.02E-05		|
|		700		|	1.43E-06		|	8.18E-06		|	1.02E-05		|
|		705		|	1.38E-06		|	4.51E-06		|	1.02E-05		|
|		710		|	1.50E-06		|	4.54E-06		|	1.02E-05		|
|		715		|	1.35E-06		|	7.11E-06		|	1.02E-05		|
|		720		|	1.36E-06		|	5.15E-06		|	1.02E-05		|
|		725		|	2.16E-06		|	4.55E-06		|	1.02E-05		|
|		730		|	1.46E-06		|	7.41E-06		|	1.02E-05		|
|		735		|	1.42E-06		|	6.33E-06		|	1.02E-05		|
|		740		|	1.49E-06		|	4.89E-06		|	1.02E-05		|
|		745		|	3.35E-06		|	4.74E-06		|	1.02E-05		|
|		750		|	4.63E-06		|	5.35E-06		|	1.02E-05		|
|		755		|	1.51E-06		|	5.42E-06		|	1.02E-05		|
|		760		|	4.64E-06		|	5.61E-06		|	1.02E-05		|
|		765		|	1.35E-06		|	3.24E-06		|	1.02E-05		|
|		770		|	1.38E-06		|	3.58E-06		|	1.02E-05		|
|		775		|	1.37E-06		|	5.17E-06		|	1.02E-05		|
|		780		|	1.36E-06		|	7.57E-06		|	1.02E-05		|
|		785		|	4.72E-06		|	5.30E-06		|	1.02E-05		|
|		790		|	1.60E-06		|	9.09E-06		|	1.02E-05		|
|		795		|	1.36E-06		|	4.45E-06		|	1.02E-05		|
|		800		|	1.88E-06		|	6.27E-06		|	1.02E-05		|
|		805		|	1.38E-06		|	5.40E-06		|	1.02E-05		|
|		810		|	1.60E-06		|	6.06E-06		|	1.02E-05		|
|		815		|	1.43E-06		|	5.18E-06		|	1.02E-05		|
|		820		|	1.66E-06		|	5.15E-06		|	1.02E-05		|
|		825		|	1.48E-06		|	8.95E-06		|	1.02E-05		|
|		830		|	1.42E-06		|	3.19E-06		|	1.02E-05		|
|		835		|	4.58E-06		|	6.23E-06		|	1.02E-05		|
|		840		|	1.39E-06		|	5.02E-06		|	1.02E-05		|
|		845		|	1.49E-06		|	6.44E-06		|	1.02E-05		|
|		850		|	1.77E-06		|	8.91E-06		|	1.02E-05		|
|		855		|	4.74E-06		|	6.41E-06		|	1.02E-05		|
|		860		|	1.40E-06		|	4.60E-06		|	1.02E-05		|
|		865		|	1.40E-06		|	5.93E-06		|	1.02E-05		|
|		870		|	1.38E-06		|	4.88E-06		|	1.02E-05		|
|		875		|	1.50E-06		|	5.87E-06		|	1.02E-05		|
|		880		|	2.18E-06		|	5.56E-06		|	1.02E-05		|
|		885		|	1.45E-06		|	4.38E-06		|	1.02E-05		|
|		890		|	1.42E-06		|	5.43E-06		|	1.02E-05		|
|		895		|	4.07E-06		|	6.26E-06		|	1.02E-05		|
|		900		|	2.36E-06		|	4.71E-06		|	1.02E-05		|
|		905		|	1.43E-06		|	4.39E-06		|	1.02E-05		|
|		910		|	1.37E-06		|	5.22E-06		|	1.02E-05		|
|		915		|	4.30E-06		|	5.49E-06		|	1.02E-05		|
|		920		|	1.37E-06		|	4.88E-06		|	1.02E-05		|
|		925		|	1.03E-07		|	4.83E-06		|	1.02E-05		|
|		930		|	1.40E-06		|	4.62E-06		|	1.02E-05		|
|		935		|	4.46E-06		|	9.44E-06		|	1.02E-05		|
